HR,mBP
-0.38997465564358624,-0.2369832660428327
-0.4102434958181074,-0.2369832660428327
-0.3909567556073589,-0.22041814244208646
-0.43776493687783513,-0.22182475986765393
-0.4251521941154234,-0.21678776527518662
-0.39955742128433724,-0.20973266297905002
-0.3727891983524445,-0.19498204473239278
-0.36502592025264613,-0.19273179087472792
-0.3655391816169985,-0.19692089783018496
-0.3175633338189894,-0.1931846960267024
-0.30724494687972526,-0.16926840407338306
-0.29692655994046124,-0.15554748838813748
-0.30846429640246975,-0.15855597500777363
-0.3646264845325101,-0.1715472776498368
-0.3709288566343246,-0.1616178294319418
-0.3887174052576865,-0.17314550295398012
-0.38690862348002775,-0.18881043391441232
-0.435255604405557,-0.1944346261854789
-0.39443452896610387,-0.20303906492925994
-0.36588102771389874,-0.22180297244247515
-0.3641695822438886,-0.2130492101261272
-0.35169466080204137,-0.19615636417521765
-0.33846922843687,-0.19763874414548355
-0.3464167194981729,-0.20999775597112091
-0.35958050143334175,-0.19381804964435634
-0.345001220703125,-0.18243818140741608
-0.4127652568201865,-0.19238440670184231
-0.37772074053364413,-0.19810736357276115
-0.4337444920693675,-0.19487196889089708
-0.386139408234627,-0.1747879863378421
-0.36775785876858624,-0.18673159471198697
-0.3892097473144531,-0.18628407948052705
-0.418501207905431,-0.16508506661030786
-0.4284220049458165,-0.17137366147776745
-0.4252033848916331,-0.17766225634522703
-0.4357584061161164,-0.19043158535933613
-0.48258479948966737,-0.19922429174926148
-0.4574268710228705,-0.2105570171602923
-0.41818987938665575,-0.22233164013914797
-0.4464561708511845,-0.22284094967059231
-0.448472176828692,-0.21783986257676458
-0.4428973044118574,-0.2066440866954291
-0.394867681687878,-0.20976697627584728
-0.4098221563523815,-0.19522276921058768
-0.42015850928521925,-0.17759431298099349
-0.416838615171371,-0.16600271955651436
-0.4256131572108115,-0.1570296406152829
-0.43470210413778987,-0.14165341201706316
-0.449354971608808,-0.13232361143501248
-0.4401129445722026,-0.13487175329407652
-0.36542523291803175,-0.1363645335335043
-0.3800836378528226,-0.12043003063296798
-0.3947420427876134,-0.1011540806708644
-0.40940044772240425,-0.10000291511194026
-0.37047687653572325,-0.10437725313860391
-0.4605065622637349,-0.11358809589746577
-0.46079426427041326,-0.11318438325948388
-0.4906165830550655,-0.12391791652091111
-0.4612256942256805,-0.1486290319642024
-0.43926485123172887,-0.15811422926869556
-0.4542808532714844,-0.14944951451239896
-0.44324444186302925,-0.1405884851863728
-0.41517122330204137,-0.13916152270872206
-0.4209854372086064,-0.12684092355604792
-0.4796791076660156,-0.10972587623406405
-0.48743709441154237,-0.09919306057602617
-0.47330364104240175,-0.10225263756899095
-0.4630909581338206,-0.11913553873697913
-0.4858856201171875,-0.11961243283096235
-0.5039348602294922,-0.1233182688850668
-0.48780145952778475,-0.13107816022426932
-0.47563946631646925,-0.14855364899137125
-0.4852454893050655,-0.14773840453494247
-0.4777792653729839,-0.14970845844022074
-0.45848760297221525,-0.16002985256821367
-0.44837397913778987,-0.15346796595635104
