HR,mBP
-0.7970192816949659,-0.2517250782221704
-0.7970192816949659,-0.2541826542337142
-0.8014008921961631,-0.2542940206195584
-0.7676820447368007,-0.2747370781590096
-0.7857577416204637,-0.274516798939871
-0.8024273533974924,-0.2742965197207323
-0.7995228305939706,-0.2740762405015935
-0.7966183077904486,-0.2738559612824548
-0.7647765990226499,-0.27363568206331623
-0.7622433893711905,-0.2691042923808692
-0.7597101797197313,-0.26457290269842193
-0.7571769700682719,-0.2645114120559313
-0.7603084605227234,-0.25210548514750464
-0.7724987153084047,-0.2347071253838231
-0.7924935125535535,-0.23717810028228004
-0.791793207968435,-0.23964907518073697
-0.7910929033833165,-0.23574768370063748
-0.7848068667996314,-0.24446644949082708
-0.7785208302159463,-0.2531852152810168
-0.7707565676781439,-0.251943407960199
-0.7897359478858209,-0.2526445151561528
-0.808715328093498,-0.25334562235210667
-0.7724749042141822,-0.2707700966602534
-0.7834109815645389,-0.26402829298332553
-0.7943470589148955,-0.2624812339668843
-0.7736156901151048,-0.2615388784835587
-0.7747753546656674,-0.26059652300023317
-0.7759350192162299,-0.25965416751690773
-0.7927770614624023,-0.25871181203358207
-0.8096191037085748,-0.2577694565502565
-0.7971528576266381,-0.2583119406628964
-0.8005200047646799,-0.26213713941684813
-0.7648252056490991,-0.2659623381707996
-0.7843309833157447,-0.2697875369247512
-0.8175875140774634,-0.26086972364738803
-0.8088876662715789,-0.2659912109375
-0.7669578060027091,-0.26414466971781714
-0.808715328093498,-0.2622981284981343
-0.8127307584208827,-0.2631369823247046
-0.8167461887482674,-0.27596408217700563
-0.7905549926142539,-0.2619804268452659
-0.7643637964802403,-0.24799677151352617
-0.7685977258989888,-0.2471165570058237
-0.7728316553177372,-0.24623634249812143
-0.7770655847364856,-0.24535612799041895
-0.7719029149701518,-0.24447591348271658
-0.766740245203818,-0.24359569897501432
-0.7949049549718057,-0.24271548446731184
-0.7846636003063571,-0.24764680625194346
-0.7744222456409086,-0.26791617170495186
-0.813509048954133,-0.25607519956370495
-0.8125299023043725,-0.2462945435177627
-0.7653837511616368,-0.2620620347967195
-0.7916131173410723,-0.2493039411098803
-0.7787773070796844,-0.24635375672905002
-0.7659414968182964,-0.2654498655404618
-0.801224862375567,-0.2606546582274176
-0.79883240115258,-0.25585945091437345
-0.7964399399295929,-0.2510642436013293
-0.779453077623921,-0.24626903628828511
-0.7624662153182491,-0.24147382897524095
-0.7700756749799175,-0.23667862166219678
-0.7776851346415858,-0.23188341434915272
-0.7813520328972929,-0.24894797861279538
-0.785018931153,-0.24078171763254042
-0.7886858294087071,-0.2589821886660447
-0.7762137792443716,-0.26039275363903136
-0.7637417290800361,-0.2516576283013643
-0.7512696789157006,-0.2429225029636971
-0.7630737981488628,-0.25992011074996113
-0.7748779173820249,-0.2509865831972947
-0.7573976209086757,-0.2586973579368781
-0.7399173244353263,-0.2744839037235697
-0.7325017990604523,-0.23562318412818717
-0.7250862736855783,-0.23768286037377284
-0.7260062566367529,-0.23974253661935863
-0.7269262395879275,-0.2418022128649443
-0.7278462225391018,-0.24386188911052997
-0.7287662054902764,-0.24592156535611553
-0.729686188441451,-0.24798124160170132
-0.7306061713926254,-0.250040917847287
-0.7587246433381112,-0.25448300641567556
-0.7507554023496567,-0.258925094984064
-0.7427861613612021,-0.2633671835524525
-0.7354821235902848,-0.26780927212084105
-0.7321560582806987,-0.2722513606892297
-0.7288299929711126,-0.2766934492576182
-0.7255039276615265,-0.27497400691853235
-0.7221778623519406,-0.255953660651819
-0.7188517970423545,-0.2681763302627488
-0.7591442600373299,-0.28324556113475596
-0.7607136034196423,-0.27797998836384485
-0.7622829468019547,-0.26853464610541045
-0.763852290184267,-0.26176900531522074
-0.7654216335665794,-0.2591498835169854
-0.7459593372960245,-0.25489959564968123
-0.7264970410254694,-0.25064930778237715
-0.7271794503734959,-0.2537826407513215
-0.7278618597215222,-0.25691597372026587
-0.74868897468813,-0.2600493066892102
-0.7655016376126197,-0.2631826396581546
-0.7670236402942289,-0.26631597262709883
-0.7685456429758379,-0.26789752930381583
-0.7547769854145665,-0.2694790859805325
-0.7602008423070327,-0.2710606426572495
-0.7656246991994987,-0.2726421993339664
-0.7710485560919649,-0.2742237560106833
-0.7657960461032006,-0.27580531268740005
-0.7553629029181695,-0.2756171318005397
-0.7449297597331386,-0.27542895091367936
-0.7088084682341544,-0.275240770026819
-0.7231687115084741,-0.24623973334013527
-0.7200976956275202,-0.24647043712103545
