HR,mBP
-0.465425306750882,-0.43995400803599194
-0.5049484622093938,-0.4318461252089164
-0.4650448214623236,-0.4341661443757774
-0.4421529462260585,-0.42871017835626557
-0.4892563973703692,-0.4137621827386505
-0.5595866172544418,-0.41264965759580996
-0.5175132136191092,-0.4275804965650264
-0.5060478333503969,-0.4310386999329524
-0.5503990419449345,-0.4266365772456079
-0.5674399099042339,-0.42872353928599194
-0.5038908066288117,-0.44098409016927087
-0.4650448214623236,-0.4405405983996036
-0.5098987702400454,-0.42946180656774724
-0.5548357809743574,-0.42716699097287003
-0.5125943460772114,-0.4385323595644822
-0.4947654970230595,-0.4387684532658971
-0.5515621554466985,-0.43282815354380444
-0.5646416448777722,-0.4324863111201803
-0.5343559019027218,-0.4388121040306281
-0.49901463908533894,-0.43888805636126016
-0.5171696447557019,-0.4389640086918921
-0.5107698748188634,-0.4298798670223103
-0.4979891623220136,-0.4292321655880752
-0.4676545666110131,-0.4329108242964863
-0.48734597236879407,-0.42093958309040735
-0.5760032899918095,-0.41170330901644125
-0.5516021482406124,-0.41343385307349967
-0.49323611105642007,-0.4191124759503265
-0.4996823341615738,-0.4117071047351135
-0.5439312227310673,-0.4085584801820973
-0.5529221565492691,-0.4142487179580613
-0.4778721717096144,-0.4254558050810401
-0.46433085779989924,-0.4176454306834966
-0.5014585679577244,-0.4041190076230178
-0.498167714764995,-0.4036880113592195
-0.4646642131190146,-0.4032570150954212
-0.49350633928852694,-0.40282601883162317
-0.5233540381154707,-0.402395022567825
-0.5532017369424143,-0.4019640263040267
-0.5013699685373614,-0.41678478943174746
-0.5346878420922063,-0.41726965453494247
-0.5689488072549143,-0.4241279867751089
-0.5175132136191092,-0.4283115772860956
-0.49575270375897806,-0.4324951677970823
-0.5077581098002772,-0.436678758308069
-0.5032286490163496,-0.4356344422297691
-0.44369026922410537,-0.4345901261514692
-0.42510088028446325,-0.4335458100731693
-0.44443253547914563,-0.43250149399486937
-0.43283585579164563,-0.42538702665869865
-0.4287889542118195,-0.4298467683554882
-0.4247420526319935,-0.42098923109064057
-0.491792494250882,-0.41062676728661385
-0.5132876365415512,-0.4061459213940065
-0.46727580408896174,-0.4156284616954291
-0.46921416251890125,-0.4122813210558536
-0.5222140281431137,-0.4069395302540034
-0.5464882389191659,-0.4125039779131685
-0.49246972607028094,-0.42754276712142414
-0.48989154446509575,-0.425954638428949
-0.5409104131883191,-0.4227254687257074
-0.5458806560885522,-0.426804196182175
-0.4562190886466734,-0.4383520629275498
-0.418137950281943,-0.4309000802870414
-0.47330364104240175,-0.4171418906444341
-0.5136339126094696,-0.4116629984841418
-0.4982568679317352,-0.41081602181961285
-0.4676545666110131,-0.4079044019404928
-0.5123207646031533,-0.4082487874956273
-0.5569869625952937,-0.4085931730507618
-0.5256895249889744,-0.4262196555066464
-0.5192277354578818,-0.42947554706934077
-0.5573358228129726,-0.42896600979477617
-0.521998897675545,-0.4353378068155317
-0.4866619725381175,-0.4381144509386661
-0.42678956062563,-0.44089109506180035
-0.4324314978814894,-0.44366773918493474
-0.42194243400327625,-0.4359333550752099
-0.411453370125063,-0.4408751530433769
-0.5088077668220766,-0.4374469358529618
-0.5383650256741431,-0.44342375038868154
-0.4725539915023311,-0.45289604224968905
-0.4782433048371346,-0.44951428465582244
-0.48263082196635587,-0.44374577916083646
-0.462708996188256,-0.44914678317397383
-0.40118053395261066,-0.449927220890178
-0.339652071716965,-0.4507076586063822
-0.3702749026718959,-0.4197859882715329
-0.4008977336268271,-0.41638016582128423
-0.42999895157352575,-0.42282825678735225
-0.4189159024146295,-0.432125490103195
-0.35715669201266376,-0.4441604234685945
-0.344055668000252,-0.44666248530297725
-0.33936420563728575,-0.44018190298507465
-0.3223684987714214,-0.4335901820244481
-0.24786032399823588,-0.43478385963250155
-0.238371079967868,-0.429245602432175
-0.2533078347482989,-0.41888792123367535
-0.23222597183719762,-0.40950672662080223
-0.1862042334771925,-0.4095413435750933
-0.178313962874874,-0.4069008898379197
-0.18253892467867938,-0.40212936780939057
-0.177079846782069,-0.3973578457808613
-0.19663090859690024,-0.39258632375233204
-0.17646211193453876,-0.4061040925742382
-0.1757662373204385,-0.4016218802229089
-0.141495612359816,-0.3969374319807214
-0.16954938827022425,-0.38921868623192635
-0.16649763045772425,-0.4017851720401897
-0.13700620589717738,-0.41079787828435943
-0.11715267550560737,-0.41212083807039024
-0.109527341781124,-0.40541114617342977
-0.10755967170961456,-0.38931008713755444
-0.10559200163810478,-0.38989751255927396
-0.10362433156659534,-0.390668650764731
-0.10165666149508557,-0.4005266635572139
-0.09968899142357612,-0.3822426107985464
-0.121932122015184,-0.3823372426199083
-0.14417525260679187,-0.38243187444127025
-0.16800320533014113,-0.3825265062626322
-0.19183115805349038,-0.3826211380839941
-0.21565911077683975,-0.38271576990535605
-0.239487063500189,-0.38971000405686407
-0.23596929734753025,-0.3965930464255869
-0.2324515311948715,-0.40347608879430974
-0.22893376504221274,-0.40026764371501866
-0.22541599888955388,-0.40153448000476133
-0.22189823273689513,-0.4028013162945041
-0.21838046658423638,-0.40406815258424666
-0.2155462695706275,-0.40533498887398944
-0.21671049056514613,-0.4066018251637321
-0.226379640640751,-0.4078686614534748
-0.21961199852728075,-0.40913549774321756
-0.2054915889616935,-0.4104023340329602
-0.17514714887065275,-0.4076871400646507
-0.15383172804309475,-0.40497194609634124
-0.14344541488155238,-0.4022567521280317
-0.1492618437736265,-0.3868466657192553
-0.15054776591639363,-0.3787037863660214
-0.16775131225585938,-0.3780538834149565
-0.15963991226688512,-0.3963386194029851
-0.1000077032273815,-0.3571288455185012
-0.08663411294260337,-0.34599023316037003
-0.07326052265782512,-0.3510052125845382
-0.059886932373046875,-0.3480362773534671
-0.059834941740958936,-0.3421676407999067
-0.059782951108870996,-0.336145030918406
-0.06813603062783513,-0.33012242103690537
-0.11309617565524188,-0.32409981115540465
-0.09645880422284525,-0.31807720127390393
-0.09446002591040825,-0.3371893280181125
-0.10422589701990925,-0.3366459329329913
-0.13240506572108113,-0.33109651631976833
-0.15439088882938512,-0.32992432247939985
-0.15860920567666326,-0.33890279134114587
-0.1119085742581275,-0.34556959161710976
-0.10069804037770913,-0.3452192467836598
-0.11647821241809475,-0.3448689019502099
-0.136350816295993,-0.3325232510542988
-0.15566708964686238,-0.32779052127060015
-0.07406973069713962,-0.32869405414334574
-0.06251747377457162,-0.32959758701609143
-0.07748659195438512,-0.3266026890693019
-0.09245571013419862,-0.31023851081506526
-0.15118974254977313,-0.30575508383376093
-0.21013456775296124,-0.3012716568524565
-0.20394448311098157,-0.3068868912274565
-0.197754398469002,-0.31152579084557686
-0.1826153416787425,-0.31736474487912003
-0.1728204296481225,-0.3216602837861474
-0.18138934719947075,-0.3273133235191231
-0.15510903635332662,-0.32366160176088943
-0.13700620589717738,-0.32000988000265596
-0.09940301218340475,-0.29955882614920193
-0.1218555819603705,-0.2927715750673716
-0.15963991226688512,-0.2859843239855411
-0.11841546335527975,-0.2939488804755519
-0.13364053541614163,-0.28697037578222173
-0.1210181943831905,-0.28794782648039097
-0.15892656387821325,-0.2889252771785603
-0.14740925450478826,-0.28990272787672966
