HR,mBP
-0.4658529220088836,-0.32837635249047725
-0.4456673899004536,-0.3342603237474736
-0.49499001041535406,-0.32598725124378114
-0.5021673633206275,-0.3230240095907183
-0.5003491678545552,-0.3476241382200327
-0.4337444920693675,-0.341291209358481
-0.42720997718072706,-0.33495828049692944
-0.42067546229208674,-0.3199117480225824
-0.41271295855122225,-0.31614631918532343
-0.42037059414771294,-0.3159590384260339
-0.4280282297442036,-0.29582449690026436
-0.4356858653406943,-0.2903313075329731
-0.443343500937185,-0.28483811816568205
-0.4907070898240612,-0.28728076435044836
-0.47479986375378025,-0.28972341053521455
-0.45704072521578876,-0.2945647737873134
-0.47479986375378025,-0.2994809886116293
-0.4797253762522051,-0.3076845235492459
-0.4615610184208039,-0.3207515887360075
-0.484467044953377,-0.3171804247803949
-0.5102038844939201,-0.31082942829796334
-0.5188425125614289,-0.3160605359433303
-0.4729289393271169,-0.32776941707478235
-0.474472907281691,-0.32577666477184386
-0.5010595014018397,-0.3183930050674363
-0.4796328390798261,-0.316752343628537
-0.4546689679545741,-0.32168343767004814
-0.4357584061161164,-0.3140994399341185
-0.4630909581338206,-0.30171879251204914
-0.4811109727428805,-0.2999498357820274
-0.47666402016916587,-0.30237651464357895
-0.4396641638971144,-0.306698244009445
-0.4189159024146295,-0.295356788445468
-0.44719462240895913,-0.28702374358675375
-0.46471183530745963,-0.287081590339319
-0.4789385641774824,-0.2925632154170553
-0.4456673899004536,-0.29839427435576027
-0.44408625941122737,-0.2925632913314288
-0.4921537829983619,-0.29322010249047725
-0.5130278064358619,-0.3011917949315921
-0.4906165830550655,-0.3107504014352068
-0.4214499688917591,-0.31115601193252485
-0.43369416267641125,-0.3027314143394356
-0.45077391593687,-0.29846586160991917
-0.47029839792559225,-0.298475047249106
-0.4421529462260585,-0.29843746963425066
-0.42067546229208674,-0.288780174445157
-0.4815259133615801,-0.28147781903470925
-0.520509781376008,-0.28511214374902827
-0.5146713256835938,-0.295430956788324
-0.47152143909085187,-0.30575257865943717
-0.4635205422678301,-0.30154737785680974
-0.47330364104240175,-0.30029372789373443
-0.4491588223365045,-0.3070774363048041
-0.4343523517731698,-0.31303686644900497
-0.41954588120983494,-0.2946397771882774
-0.44999141077841487,-0.28609895468944346
-0.47039265786447837,-0.28620546255538715
-0.485565677765877,-0.3092464617828825
-0.4361603029312626,-0.33098575724891166
-0.4589208787487399,-0.33396106928735225
-0.5031844723609187,-0.33863382671602926
-0.5231913289716167,-0.36084219709557686
-0.4832741522019909,-0.3638850729263837
-0.435456798922631,-0.3669279487571906
-0.444383067469443,-0.36997082458799746
-0.4608422556231099,-0.3569264577988961
-0.4485212756741431,-0.3584108115428716
-0.42806539227885587,-0.3567352294921875
-0.44724384430916075,-0.3407571517412935
-0.4906165830550655,-0.3386565251136894
-0.5147145179010206,-0.3493089059099036
-0.49709578483335437,-0.35962620066173046
-0.501768788983745,-0.35915500014575563
-0.5091037442607265,-0.3637482752254353
-0.5164386995377079,-0.3702186091029229
-0.45116473782447075,-0.3700743717933769
-0.40303568686208413,-0.36993013448383083
-0.4210369971490675,-0.34756037014633867
-0.43656195363690775,-0.32963357042910446
-0.44408625941122737,-0.32149805477009485
-0.39443452896610387,-0.30894477806281095
-0.40275998269357993,-0.30663888529560857
-0.411085436421056,-0.30433299252840607
-0.46689667240265875,-0.3020270997612038
-0.46471183530745963,-0.2997212069940014
-0.45809382777060237,-0.2974153142267989
-0.451475820233745,-0.2951094214595965
-0.4448578126968876,-0.29280352869239423
-0.43823980516003025,-0.29049763592519173
-0.4316217976231729,-0.28819174315798934
-0.49251482563634075,-0.28588585039078696
-0.485199712937878,-0.28357995762358446
-0.49492282252157893,-0.2812740648563822
-0.5046459321052797,-0.2992584835830613
-0.4938222208330708,-0.31614366218225276
-0.4829985095608619,-0.32384145556397703
-0.4369632351783014,-0.3260743629873095
-0.43605989025485126,-0.3283072704106421
-0.450333995203818,-0.32128670915442314
-0.45733039609847526,-0.3188908515284904
-0.429185559672694,-0.3230325879149176
-0.3865790828581779,-0.324628611702231
-0.3793921932097404,-0.3114680959217584
-0.3905205265168221,-0.3012571572071284
-0.40292887533864663,-0.29911538498911694
-0.37323920957503776,-0.30232375415403456
-0.377609129874937,-0.29320894307758083
-0.44284783640215475,-0.28945148524953357
-0.4482215553201656,-0.30039112603486473
-0.45359527423817614,-0.33135295507326645
-0.4444506040183446,-0.33228581619895314
-0.4353059337985131,-0.3332186773246397
-0.42469073880103325,-0.32699528278205325
-0.40468683550434725,-0.3207718882394668
-0.4047401182113155,-0.3145484936968801
-0.3378717976231729,-0.3083250991542936
-0.3341541905556956,-0.30210170461170704
-0.3548387096774194,-0.2800917744043454
-0.39139261553364413,-0.28223506490982586
-0.3763240691154234,-0.28418462193427396
-0.3713803445139239,-0.2843999910117382
-0.37449785047961826,-0.2935737875563589
-0.3776153564453124,-0.28691351591651115
-0.3807328624110069,-0.2705403038518346
-0.38385036837670106,-0.2738074307417988
-0.38696787434239543,-0.2732389839134406
-0.3900853803080898,-0.2644563741351834
-0.39320288627378397,-0.2645684237503887
-0.39632039223947835,-0.2784074622007152
