HR,mBP
-0.6170191611013105,-0.21247286820293065
-0.6170191611013105,-0.21247286820293065
-0.574516850133096,-0.21247286820293065
-0.5850110823108303,-0.21247286820293065
-0.5853841843143586,-0.21247286820293065
-0.5353095146917528,-0.19777447904520362
-0.5208937121975806,-0.19453314643594166
-0.5157355733071605,-0.1912918138266796
-0.5105774344167402,-0.18805048121741752
-0.5054192955263199,-0.18480914860815556
-0.5002611566358997,-0.1815678159988935
-0.5089342695666899,-0.17832648338963142
-0.5176073824974798,-0.17508515078036935
-0.5262804954282699,-0.1718438181711074
-0.5313587803994455,-0.17512638414677106
-0.5577314438358429,-0.17840895012243474
-0.5865018290858115,-0.1946329904432914
-0.5835154748732043,-0.2110280658475202
-0.565537360406691,-0.21911139037478622
-0.5510009642570249,-0.2167788168684167
-0.5442566410187752,-0.2144462433620472
-0.5470950834212764,-0.2121136698556777
-0.5652259703605406,-0.2097810963493082
-0.5748221489690966,-0.197774023558963
-0.5640176342379662,-0.19392569622590172
-0.544541266656691,-0.19574635064423973
-0.5868365995345577,-0.189496775764731
-0.5930047804309475,-0.1887640502322373
-0.5974593623991935,-0.19105195761913096
-0.5939211076305759,-0.20056402861182365
-0.6161830655990108,-0.20141791348433613
-0.6248170791133758,-0.21315791950890084
-0.6167406266735447,-0.22403432362115205
-0.5915347683814265,-0.2276554392344916
-0.5909823756064139,-0.23127655484783116
-0.5898016652753276,-0.2242629777139692
-0.5986206916070753,-0.2228841449490827
-0.6020150953723538,-0.22208157819301932
-0.5889141328873173,-0.22133108869713936
-0.5933715451148249,-0.22058059920125928
-0.5950548110469696,-0.21566582675003887
-0.5406236956196446,-0.21471788396882774
-0.4946307520712575,-0.21220580143715018
-0.5235732293898059,-0.19741168425450872
-0.5570190798851751,-0.19746861054529596
-0.498167714764995,-0.1975255368360832
-0.5084581682758946,-0.19758246312687056
-0.5132876365415512,-0.1976393894176578
-0.5134607745755103,-0.19769631570844504
-0.5136339126094696,-0.1977532419992324
-0.5324015463552167,-0.19781016829001963
-0.559231911936114,-0.19786709458080687
-0.5503990419449345,-0.2130599140527829
-0.5574150085449219,-0.22277665019628423
-0.5778263461205266,-0.23397432393695583
-0.5626887044598979,-0.23253450156444333
-0.5522426482169859,-0.23109467919193094
-0.5579686933948147,-0.22965485681941855
-0.5820151913550593,-0.22821503444690616
-0.5756607055664062,-0.22677521207439366
-0.5664313531691028,-0.22689796561625464
-0.5835154748732043,-0.2245593474278995
-0.6011869369014617,-0.2190272392918221
-0.5889511108398438,-0.21820258145308613
-0.5701447148476877,-0.22250685051305974
-0.5870967372771232,-0.2107381488553327
-0.5735615145775579,-0.20596419756685325
-0.5491123814736643,-0.20414544100785137
-0.5633145609209614,-0.18883639663013063
-0.580246094734438,-0.1889054660575703
-0.5865389916204637,-0.18897453548500975
-0.5945066021334741,-0.18904360491244943
-0.6072022837977256,-0.1891126743398891
-0.596586411999118,-0.18918174376732866
-0.5811503010411416,-0.18925081319476833
-0.5841517294606855,-0.18310235626068871
-0.5832158980831024,-0.1791252022358909
-0.5980404269310735,-0.19121282017646146
-0.600645988218246,-0.19894803934429417
-0.6206935144239856,-0.19726911706117845
-0.6233781999157322,-0.20879838478505908
-0.6150657899918095,-0.20836618256721418
-0.6233781999157322,-0.20793398034936927
-0.6184092490903793,-0.20750177813152437
-0.6161830655990108,-0.20706957591367936
-0.5886549180553806,-0.20663737369583446
