HR,mBP
-0.6849736859721522,-0.2444691824082711
-0.6921097540086316,-0.2508335398204291
-0.6946453586701424,-0.24718835935070738
-0.6876124105145854,-0.25709981586209574
-0.6939474536526588,-0.23472185277227142
-0.6803306917990408,-0.21872244308243938
-0.6768771063896917,-0.21005423626496422
-0.6756732451018468,-0.21800899980080068
-0.6744693838140017,-0.216718455452231
-0.6755152466476604,-0.21542791110366133
-0.6765611094813193,-0.21622709967010645
-0.6879146329818233,-0.21702628823655157
-0.6842119052845945,-0.231815774642413
-0.6805091775873655,-0.22477054121482432
-0.6768064498901367,-0.23922349920320274
-0.6816289347987021,-0.2280590000437267
-0.6816589601578251,-0.2458132463901197
-0.6857462236958165,-0.22910563151041663
-0.6785291856335056,-0.23823813063588306
-0.6897055102932838,-0.2325085692144745
-0.6873463046166204,-0.23080155861318408
-0.6826259243872859,-0.23600138953669159
-0.6779055441579511,-0.2288527607324704
-0.6818986708118069,-0.24097909500349812
-0.6965007781982422,-0.22576274207575409
-0.6809688075896232,-0.23718125072877794
-0.6880539309593938,-0.2348337505587298
-0.6951390543291646,-0.2324861744743082
-0.6938073353100849,-0.23775113993023167
-0.6924756162910052,-0.2360312238854555
-0.6911438972719254,-0.25310504970265857
-0.7072338596467049,-0.24473169431164488
-0.7026726507371472,-0.25278772762165735
-0.697425288538779,-0.2606865422642646
-0.7027011994392641,-0.24971053849405322
-0.6937436749858241,-0.26042084195720616
-0.6927804946899414,-0.24225377324801778
-0.6918173143940587,-0.24496065206195583
-0.7001482850761823,-0.23459537942611164
-0.7084792557583061,-0.2363208372201493
-0.7168102264404297,-0.2554144408572373
-0.6983765017601751,-0.241258839469644
-0.6997275198659589,-0.25246486379139454
-0.702123918840962,-0.24477375087453357
-0.7045203178159652,-0.2781678764381219
-0.7209425895444809,-0.2775292847287002
-0.7114655279344129,-0.2782813684264226
-0.7139390514742944,-0.29159394069690614
-0.7222472160093246,-0.2761602449179882
-0.7190880929270098,-0.27706187993139775
-0.7159289698446951,-0.2601610629712764
-0.7074309933570124,-0.2602815390819341
-0.7081343743108934,-0.26792771068971544
-0.7231687115084741,-0.25669671053910137
-0.7222869319300498,-0.2729142981382152
-0.7214051523516255,-0.2653397896989661
-0.7104048575124433,-0.2784688010144589
-0.7096386571084299,-0.2794622924197373
-0.7088724567044166,-0.27958542553346544
-0.7081062563004032,-0.2916920220673974
-0.7120313952046056,-0.2797528167269123
-0.7159565341088079,-0.2884973174897
-0.7080571574549521,-0.27228587895483525
-0.7001577808010963,-0.2742985208236163
-0.6989213574317195,-0.270350973404462
-0.6976849340623426,-0.27021751593594523
-0.6993937953825919,-0.2814507935177627
-0.7011026567028416,-0.27295756933107895
-0.6996988481090916,-0.2799183859753964
-0.7016410827636719,-0.26144401588250155
-0.7035833174182522,-0.2650859320341651
-0.7040376663208008,-0.2512976802996735
-0.7044920152233494,-0.2568513481178094
-0.7002151243148311,-0.2422826207099269
-0.6997561916228263,-0.2448287128809079
-0.7061054475845829,-0.24390665690104163
-0.7017653680616809,-0.24265429748231504
-0.697425288538779,-0.24140193806358834
-0.7001679123088878,-0.23148812820662312
-0.7029105360789967,-0.236097117561606
-0.7056531598491054,-0.23813018039684386
-0.7045203178159652,-0.23118355974036064
-0.702216548304404,-0.2463518588697139
-0.7017596767794702,-0.2402986744743082
-0.7013028052545363,-0.26122925412002485
-0.6978433055262412,-0.2618295849852301
-0.6943838057979461,-0.269518116813394
-0.6941510785010554,-0.266578029044232
