HR,mBP
-0.7497525368967364,-0.16574749543299128
-0.7567186663227696,-0.1662612079980954
-0.7657960461032006,-0.16677492056319965
-0.7612601249448715,-0.1689743877050296
-0.7458382883379536,-0.17719371283232277
-0.761505373062626,-0.1780781911973336
-0.7686696206369708,-0.17825734911866453
-0.7690661030430948,-0.17951669265974812
-0.7694625854492188,-0.1856337210432214
-0.7688851715416037,-0.19081882457828048
-0.7683077576339885,-0.18897516810478854
-0.7677303437263735,-0.18920374628323222
-0.7555747493620841,-0.18897941930970152
-0.7420339584350586,-0.18278678021027672
-0.7406194406598272,-0.1651353219255286
-0.7392049228845959,-0.16424811064307365
-0.7401641432102436,-0.16336089936061882
-0.7411233635358913,-0.16247368807816387
-0.7444563219624181,-0.16158647679570892
-0.7547769854145665,-0.18114756114447295
-0.7609164945540889,-0.20500927066328511
-0.7405135247015184,-0.2039227917419737
-0.7632665326518397,-0.20283631282066228
-0.7675132136191092,-0.20174983389935097
-0.7628758953463647,-0.20066335497803955
-0.7543274664109754,-0.19957687605672803
-0.7372099968694872,-0.1984903971354166
-0.7521473669236707,-0.1974039182141052
-0.7531762892200101,-0.19631743929279388
-0.7434036500992314,-0.19523096037148246
-0.7450199127197266,-0.19414448145017105
-0.7682604635915449,-0.1801416956963231
-0.7684531058034589,-0.17502294132365515
-0.7573636577975366,-0.1711498659048507
-0.7427861613612021,-0.17195319180464863
-0.7539274154170867,-0.16279564093594523
-0.7521473669236707,-0.15362935991429572
-0.7456850236462009,-0.15239704189015857
-0.7419871053388042,-0.1529273037886738
-0.7575619605279738,-0.15427087432709496
-0.7608673957086378,-0.15561444486551612
-0.7509644416070753,-0.1583461476795709
-0.7474698097475113,-0.16273779418337997
-0.7643874999015562,-0.1622082155142257
-0.7690782854633946,-0.16717347102378732
-0.769822520594443,-0.17042989398709574
-0.7539774987005419,-0.17587386553560325
-0.7701820250480406,-0.1744842529296875
-0.7732835585071195,-0.1824021220800296
-0.7732359978460497,-0.18746682541880444
-0.772497946216214,-0.19046293799556901
-0.7717598945863785,-0.18952205525108834
-0.7700382355720766,-0.19036189596451336
-0.7611128899358934,-0.18778073135300066
-0.7555249737155053,-0.18626692283212842
-0.7640466997700353,-0.17746024819748907
-0.7641927657588836,-0.18205268821906095
-0.7596866853775517,-0.18288288780705841
-0.7521725316201486,-0.18395616521882774
-0.7753212221207157,-0.17573539771843905
-0.7559730775894657,-0.1725100237338697
-0.7497525368967364,-0.16814654146260888
-0.7540532388994771,-0.1660544172448305
-0.7583539409022177,-0.15329070589435634
-0.7543774266396799,-0.1526115759095149
-0.7590902697655463,-0.1509631712045243
-0.7638031128914126,-0.14787315254780786
-0.769654550860005,-0.15192713191853235
-0.7649952673142957,-0.15616338169989896
-0.7613777037589781,-0.15890624392685015
-0.7577601402036606,-0.15243689693621731
-0.7709956630583732,-0.15145312257074006
-0.7636080711118637,-0.15608192557719214
-0.7547270251858619,-0.16105742952716884
-0.7701820250480406,-0.16125268129567005
-0.7681159357870779,-0.155815769783893
-0.7628270426104146,-0.15456090519084265
-0.7676747537428332,-0.15730118632909673
-0.772522464875252,-0.16875552656638682
-0.7730696893507434,-0.17095643608131217
-0.7770186393491684,-0.17728769482664797
-0.7715689751409716,-0.18234427532746422
-0.7610637910904423,-0.178290675528607
-0.7669336872716104,-0.17423707572974967
-0.7757463147563319,-0.16875097170398012
-0.7738533635293283,-0.16852543010047416
-0.7565199944280809,-0.16487865542891011
-0.7736160524429814,-0.15844893574121577
-0.7741848730271863,-0.15775598934040735
-0.7747536936113911,-0.15821246246793375
-0.7675373323502079,-0.16123415818854947
-0.7736160524429814,-0.15678846065084728
-0.772141364312941,-0.1526935634328358
-0.7661353080503402,-0.15306827678016166
-0.7589468802175214,-0.1582360718380752
-0.7683086395263672,-0.15651403019084265
-0.7648252056490991,-0.15897282083236164
-0.7654080544748614,-0.16148270184720925
-0.7683810880107265,-0.16391165813996422
-0.7713541215465914,-0.1620637504615594
-0.7696066210346837,-0.1577674524107976
-0.7587493158155871,-0.16109766414509485
-0.7682604635915449,-0.16455981506044004
-0.7777704423473727,-0.15664065536574934
-0.7724987153084047,-0.15440315512282343
-0.7719030072612147,-0.15585418245685634
-0.7721889557376984,-0.15802442256490978
-0.7724749042141822,-0.15588902715426778
-0.7778174492620653,-0.156056494262088
-0.7730459397838961,-0.15706516854205532
-0.7766891602546938,-0.1620720251282649
-0.7726652699132119,-0.16666142857489896
-0.7826439026863344,-0.16523355512476678
-0.7835256668829149,-0.1731565864525031
-0.7844074310794953,-0.18145501435692635
-0.7852891952760758,-0.18795503075443099
-0.7861709594726562,-0.18949502973414178
-0.786308596211095,-0.1800430070108442
-0.7770186393491684,-0.17709897169426303
-0.774759159293226,-0.17348696580573697
-0.7724996792372837,-0.16327671032046798
-0.7702401991813413,-0.16108726387593286
-0.7679807191253991,-0.15889781743139775
-0.7657212390694567,-0.1730228253264925
-0.7634617590135144,-0.18419848389886506
-0.7699694787302325,-0.19759577661011352
-0.7764771984469506,-0.1973844309944418
-0.7811351283904044,-0.19819003432544313
-0.7877962050899383,-0.20648838631549282
-0.7822962730161606,-0.20390240114126634
-0.7766420302852508,-0.20131641596703975
-0.7717360219647807,-0.19411320472831162
-0.7749666398571383,-0.18972618900128269
-0.7681159357870779,-0.18830355364291818
-0.7917713042228453,-0.1833098302433147
-0.7874949465515793,-0.1779658379246346
-0.7832185888803134,-0.18120016980527054
-0.7789422312090474,-0.18217331615846544
-0.7842848993116809,-0.18738574886796489
-0.7865377856839088,-0.1781981359073772
-0.7794800419961252,-0.1768561975279851
-0.7749902663692352,-0.1792039254411536
-0.7678749945855909,-0.18185394438938118
-0.7727128921016571,-0.17687608709382774
-0.7779582238966418,-0.1775087574821207
-0.7826207683932397,-0.18129521460082398
-0.769654550860005,-0.18222083855624227
-0.7819018825407951,-0.18413099602087224
-0.7848609185987903,-0.17758338131121731
-0.7790826366793725,-0.1769865425071906
-0.7745643123503654,-0.18066087409631526
-0.7630224535542149,-0.17590407945623443
-0.7613896400697769,-0.15718162119092038
-0.7597568265853389,-0.15894602305853545
-0.7643874999015562,-0.15360104385300066
-0.7593415783297631,-0.15635878529714708
-0.757358520261703,-0.15719300834693717
-0.7599217045691705,-0.15790402236862566
-0.7624848888766381,-0.1665722291861007
-0.7611966286936114,-0.1700837244441853
-0.7599083685105847,-0.17747846764711595
-0.7731084823608398,-0.18429292137943099
-0.7755333531287408,-0.19539539849580223
-0.7779582238966418,-0.18593464561955841
-0.7773947561940839,-0.19667728860579914
-0.7769190822878191,-0.21280218475493629
-0.7764434083815543,-0.21441111398573542
-0.7759677344752897,-0.22261821689890393
-0.7754920605690249,-0.22658390785331162
-0.7727345305104409,-0.23466537247842822
-0.769977000451857,-0.22554904311450563
-0.7672194703932731,-0.21718639165014775
-0.7644619403346893,-0.2197135811421409
-0.7617044102761054,-0.22277080478952893
-0.7589468802175214,-0.21479531662974194
-0.7599329794606855,-0.21386027929201645
-0.7521222022271925,-0.23345909308438273
-0.7482506741759598,-0.2383025060245647
-0.7443791461247269,-0.23052097908893032
-0.744196666184292,-0.23757668870005444
-0.7440141862438572,-0.22507131396241453
-0.74752075441422,-0.2125659392247745
-0.7531762892200101,-0.20400279790014775
-0.7519462954613471,-0.20048090237290117
-0.7431721841135333,-0.20550483969313593
-0.7499042018767326,-0.2035334193291356
-0.7555249737155053,-0.20944107587064675
-0.7575619605279738,-0.22372929966864896
-0.7610637910904423,-0.2394011388370647
-0.7636324359524634,-0.23944144936936407
-0.7557490564161731,-0.22630059541161385
-0.7593415783297631,-0.23919503131316078
-0.7565199944280809,-0.24971471378459265
-0.7571972057383547,-0.21161139189307365
-0.7578744170486287,-0.2116725029636971
-0.7585516283589024,-0.22933405786011352
-0.7310755945021106,-0.24187556783951336
-0.7155151982461252,-0.2242206174935868
-0.7237639273366621,-0.21708090862824547
-0.7259798152472383,-0.2160703554675354
-0.7281957031578146,-0.2150598023068252
-0.7304115910683908,-0.22017840485074625
-0.7365564530895603,-0.2252970073946673
-0.7284931675080331,-0.2773830736454447
-0.7218399663125314,-0.2839618385530033
-0.7141329242337134,-0.29054060346056176
-0.7283061242872668,-0.29711936836812036
-0.7107959255095451,-0.2977052375451842
-0.7130514575589088,-0.2982911067222481
-0.7190048463882939,-0.29887697589931206
-0.7183477340206024,-0.2994628450763759
-0.7110471417826991,-0.3000487142534398
-0.7123844392838017,-0.30063458343050375
-0.7129260955318328,-0.30092419676519744
-0.713467751779864,-0.2852437033582089
-0.7222743495818107,-0.27670910583799746
-0.7253018040810861,-0.26968049765819346
-0.7231687115084741,-0.27215879829368783
-0.7170301868069556,-0.2746370989291822
-0.7176895141601562,-0.28662230837997515
-0.7119392271964781,-0.3037138222461909
-0.7156807684129285,-0.2791290283203125
-0.7261356230705015,-0.27375598610139407
-0.7132458225373299,-0.26838294388247563
-0.706359617171749,-0.2879059698253523
-0.7061336886498235,-0.30742899576822913
-0.7040378816666142,-0.2991797603777985
-0.6976560777233494,-0.2910143344556514
-0.6913490295410156,-0.28806325808093325
-0.6908798525410313,-0.285112181706215
-0.6984784987664991,-0.30921328720168684
-0.7060771449919669,-0.3044344014789334
-0.6997275198659589,-0.29965551575618
-0.6999426503335275,-0.29487663003342657
-0.7001577808010963,-0.29009774431067314
-0.702216548304404,-0.27169078618139775
-0.6983189736643145,-0.30778040340290735
-0.6973953862344064,-0.30065656064161617
-0.6964717988044985,-0.293532717880325
-0.7036617955853862,-0.2665327081632851
-0.7108517923662739,-0.27562854064637754
-0.7135749324675529,-0.2800245901838464
-0.7119619307979461,-0.2975923149146844
-0.7103489291283391,-0.31772526223861164
-0.7140055010395665,-0.27466655370607895
-0.7176620729507939,-0.2720815596361724
-0.7034753163655598,-0.27176867714019604
-0.689288559780326,-0.27145579464421965
-0.6887298433584125,-0.27114291214824315
-0.688171126936499,-0.2802458046680659
-0.6949798146456373,-0.286257615729944
-0.7017885023547756,-0.29532224740555035
-0.7083310773295741,-0.3199929004877954
-0.6947550004528416,-0.30859744449950766
